User: unknown
Title :  
Absorbance		
Wavelength	OE1_CHANNEL1	
515.000000	2.610757
516.000000	2.614473
517.000000	2.617174
518.000000	2.618481
519.000000	2.619674
520.000000	2.620287
521.000000	2.621132
522.000000	2.619617
523.000000	2.616496
524.000000	2.610147
525.000000	2.605395
526.000000	2.601454
527.000000	2.598170
528.000000	2.597302
529.000000	2.591319
530.000000	2.582672
531.000000	2.568726
532.000000	2.558474
533.000000	2.549550
534.000000	2.545205
535.000000	2.536044
536.000000	2.523602
537.000000	2.508106
538.000000	2.487633
539.000000	2.471653
540.000000	2.457166
541.000000	2.446030
542.000000	2.431833
543.000000	2.416107
544.000000	2.398036
545.000000	2.379929
546.000000	2.361564
547.000000	2.343148
548.000000	2.324811
549.000000	2.306695
550.000000	2.288839
551.000000	2.271107
552.000000	2.253886
553.000000	2.236949
554.000000	2.220814
555.000000	2.203683
556.000000	2.185899
557.000000	2.167559
558.000000	2.148144
559.000000	2.130181
560.000000	2.112798
561.000000	2.096818
562.000000	2.079382
563.000000	2.061311
564.000000	2.041821
565.000000	2.023473
566.000000	2.005868
567.000000	1.989033
568.000000	1.973283
569.000000	1.957135
570.000000	1.941015
571.000000	1.924793
572.000000	1.908767
573.000000	1.892859
574.000000	1.877072
575.000000	1.861470
576.000000	1.846076
577.000000	1.830823
578.000000	1.815945
579.000000	1.801396
580.000000	1.787126
581.000000	1.773351
582.000000	1.759204
583.000000	1.744951
584.000000	1.730293
585.000000	1.716251
586.000000	1.702659
587.000000	1.689760
588.000000	1.676978
589.000000	1.664338
590.000000	1.651805
591.000000	1.639302
592.000000	1.627033
593.000000	1.614939
594.000000	1.603003
595.000000	1.591267
596.000000	1.579712
597.000000	1.568372
598.000000	1.557137
599.000000	1.546015
600.000000	1.535009
601.000000	1.524011
602.000000	1.513386
603.000000	1.503015
604.000000	1.493023
605.000000	1.482955
606.000000	1.472865
607.000000	1.462677
608.000000	1.452492
609.000000	1.442296
610.000000	1.432097
611.000000	1.421860
612.000000	1.411729
613.000000	1.401663
614.000000	1.391761
615.000000	1.381740
616.000000	1.371666
617.000000	1.361425
618.000000	1.351353
619.000000	1.341428
620.000000	1.331666
621.000000	1.322146
622.000000	1.312612
